location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition,Commune,Sous_Commune,Commune_Principale,Province,Region,median_terrace_area,median_garden_area,median_facade,type_num,AS_NEW,GOOD,JUST_RENOVATED,TO_BE_DONE_UP,TO_RENOVATE,TO_RESTORE,reg_BRUXELLES,reg_VLAANDEREN,reg_WALLONIE,ANVERS,BRABANT FLAMAND,BRABANT WALLON,BRUXELLES,FLANDRE-OCCIDENTALE,FLANDRE-ORIENTALE,HAINAUT,LIEGE,LIMBOURG,LUXEMBOURG,NAMUR
4050,APARTMENT,PENTHOUSE,350000,3,124,1,0,0,1,40,0,,,,0,AS_NEW,Chaudfontaine,Non,CHAUDFONTAINE,LIEGE,WALLONIE,40,40,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1410,HOUSE,HOUSE,349000,3,112,1,0,0,1,12,1,,148,2,0,TO_BE_DONE_UP,Waterloo,Non,WATERLOO,BRABANT WALLON,WALLONIE,12,200,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1435,HOUSE,HOUSE,240000,6,140,0,0,0,0,,1,,345,4,0,TO_BE_DONE_UP,Mont-Saint-Guibert,Non,MONT-SAINT-GUIBERT,BRABANT WALLON,WALLONIE,16,200,4,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8980,HOUSE,VILLA,764750,5,437,1,0,1,1,80,1,600,1133,4,0,AS_NEW,Zonnebeke,Non,ZONNEBEKE,FLANDRE-OCCIDENTALE,VLAANDEREN,80,80,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
9308,HOUSE,BUNGALOW,420000,2,148,1,0,0,1,40,0,,719,3,1,TO_BE_DONE_UP,Gijzegem,Oui,AALST,FLANDRE-ORIENTALE,VLAANDEREN,40,40,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1070,APARTMENT,APARTMENT,140000,1,67,1,0,0,1,9,0,,,4,0,TO_RENOVATE,Anderlecht,Non,ANDERLECHT,BRUXELLES,BRUXELLES,9,9,4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4100,HOUSE,HOUSE,185000,3,238,0,0,0,1,,1,110,217,2,0,TO_BE_DONE_UP,Seraing,Non,SERAING,LIEGE,WALLONIE,16,16,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8790,APARTMENT,APARTMENT,185000,1,78,0,0,0,1,,0,,,,0,,Waregem,Non,WAREGEM,FLANDRE-OCCIDENTALE,VLAANDEREN,16,16,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3500,HOUSE,HOUSE,599000,4,341,1,0,0,0,,1,,431,,0,,Hasselt,Non,HASSELT,LIMBOURG,VLAANDEREN,16,200,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9000,HOUSE,HOUSE,349000,2,96,1,0,0,0,,1,,57,2,0,JUST_RENOVATED,Gent,Non,GENT,FLANDRE-ORIENTALE,VLAANDEREN,16,200,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1701,APARTMENT,APARTMENT,249000,2,94,0,0,0,0,,0,,,,0,,Itterbeek,Oui,DILBEEK,BRABANT FLAMAND,VLAANDEREN,16,16,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2830,HOUSE,HOUSE,295000,2,75,1,0,0,0,,1,105,155,2,0,AS_NEW,Willebroek,Non,WILLEBROEK,ANVERS,VLAANDEREN,16,16,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1030,HOUSE,HOUSE,915000,7,330,1,0,0,1,20,0,,0,2,0,TO_RENOVATE,Schaerbeek,Non,SCHAERBEEK,BRUXELLES,BRUXELLES,20,20,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
