postalCode,Commune,Sous_Commune,Commune_Principale,Province,Region
1390,Nethen,Oui,GREZ-DOICEAU,BRABANT WALLON,WALLONIE
1400,Monstreux,Oui,NIVELLES,BRABANT WALLON,WALLONIE
1400,Nivelles,Non,NIVELLES,BRABANT WALLON,WALLONIE
1401,Baulers,Oui,NIVELLES,BRABANT WALLON,WALLONIE
1402,Thines,Oui,NIVELLES,BRABANT WALLON,WALLONIE
1404,Bornival,Oui,NIVELLES,BRABANT WALLON,WALLONIE
1410,Waterloo,Non,WATERLOO,BRABANT WALLON,WALLONIE
1420,Braine-L'Alleud,Non,BRAINE-L'ALLEUD,BRABANT WALLON,WALLONIE
1421,Ophain-Bois-Seigneur-Isaac,Oui,BRAINE-L'ALLEUD,BRABANT WALLON,WALLONIE
1428,Lillois-Witterzée,Oui,BRAINE-L'ALLEUD,BRABANT WALLON,WALLONIE
1430,Bierghes,Oui,REBECQ,BRABANT WALLON,WALLONIE
1430,Quenast,Oui,REBECQ,BRABANT WALLON,WALLONIE
1430,Rebecq-Rognon,Oui,REBECQ,BRABANT WALLON,WALLONIE
1435,Corbais,Oui,MONT-SAINT-GUIBERT,BRABANT WALLON,WALLONIE
1435,Hévillers,Oui,MONT-SAINT-GUIBERT,BRABANT WALLON,WALLONIE
1435,Mont-Saint-Guibert,Non,MONT-SAINT-GUIBERT,BRABANT WALLON,WALLONIE
1440,Braine-Le-Château,Non,BRAINE-LE-CHÂTEAU,BRABANT WALLON,WALLONIE
1440,Wauthier-Braine,Oui,BRAINE-LE-CHÂTEAU,BRABANT WALLON,WALLONIE
1450,Chastre-Villeroux-Blanmont,Oui,CHASTRE,BRABANT WALLON,WALLONIE
1450,Cortil-Noirmont,Oui,CHASTRE,BRABANT WALLON,WALLONIE
1450,Gentinnes,Oui,CHASTRE,BRABANT WALLON,WALLONIE
1450,Saint-Géry,Oui,CHASTRE,BRABANT WALLON,WALLONIE
1457,Nil-Saint-Vincent-Saint-Martin,Oui,WALHAIN,BRABANT WALLON,WALLONIE
1457,Tourinnes-Saint-Lambert,Oui,WALHAIN,BRABANT WALLON,WALLONIE
1457,Walhain-Saint-Paul,Oui,WALHAIN,BRABANT WALLON,WALLONIE
1460,Ittre,Non,ITTRE,BRABANT WALLON,WALLONIE
1460,Virginal-Samme,Oui,ITTRE,BRABANT WALLON,WALLONIE
1461,Haut-Ittre,Oui,ITTRE,BRABANT WALLON,WALLONIE
1470,Baisy-Thy,Oui,GENAPPE,BRABANT WALLON,WALLONIE
1470,Bousval,Oui,GENAPPE,BRABANT WALLON,WALLONIE
1470,Genappe,Non,GENAPPE,BRABANT WALLON,WALLONIE
1471,Loupoigne,Oui,GENAPPE,BRABANT WALLON,WALLONIE
1472,Vieux-Genappe,Oui,GENAPPE,BRABANT WALLON,WALLONIE
1473,Glabais,Oui,GENAPPE,BRABANT WALLON,WALLONIE
1474,Ways,Oui,GENAPPE,BRABANT WALLON,WALLONIE
1476,Houtain-Le-Val,Oui,GENAPPE,BRABANT WALLON,WALLONIE
1480,Clabecq,Oui,TUBIZE,BRABANT WALLON,WALLONIE
1480,Oisquercq,Oui,TUBIZE,BRABANT WALLON,WALLONIE
1480,Saintes,Oui,TUBIZE,BRABANT WALLON,WALLONIE
1480,Tubize,Non,TUBIZE,BRABANT WALLON,WALLONIE
1490,Court-Saint-Etienne,Non,COURT-SAINT-ETIENNE,BRABANT WALLON,WALLONIE
1495,Marbais,Oui,VILLERS-LA-VILLE,BRABANT WALLON,WALLONIE
1495,Mellery,Oui,VILLERS-LA-VILLE,BRABANT WALLON,WALLONIE
1495,Sart-Dames-Avelines,Oui,VILLERS-LA-VILLE,BRABANT WALLON,WALLONIE
1495,Tilly,Oui,VILLERS-LA-VILLE,BRABANT WALLON,WALLONIE
1495,Villers-La-Ville,Non,VILLERS-LA-VILLE,BRABANT WALLON,WALLONIE
1500,Halle,Non,HALLE,BRABANT FLAMAND,VLAANDEREN
1501,Buizingen,Oui,HALLE,BRABANT FLAMAND,VLAANDEREN
1502,Lembeek,Oui,HALLE,BRABANT FLAMAND,VLAANDEREN
1540,Herfelingen,Oui,HERNE,BRABANT FLAMAND,VLAANDEREN
1540,Herne,Non,HERNE,BRABANT FLAMAND,VLAANDEREN
1541,Sint-Pieters-Kapelle,Oui,HERNE,BRABANT FLAMAND,VLAANDEREN
1547,Biévène,Non,BIÉVÈNE,BRABANT FLAMAND,VLAANDEREN
1560,Hoeilaart,Non,HOEILAART,BRABANT FLAMAND,VLAANDEREN
1570,Galmaarden,Non,GALMAARDEN,BRABANT FLAMAND,VLAANDEREN
1570,Tollembeek,Oui,GALMAARDEN,BRABANT FLAMAND,VLAANDEREN
1570,Vollezele,Oui,GALMAARDEN,BRABANT FLAMAND,VLAANDEREN
