postalCode,Commune,Sous_Commune,Commune_Principale,Province,Region
2460,Tielen,Oui,KASTERLEE,ANVERS,VLAANDEREN
2470,Retie,Non,RETIE,ANVERS,VLAANDEREN
2480,Dessel,Non,DESSEL,ANVERS,VLAANDEREN
2490,Balen,Non,BALEN,ANVERS,VLAANDEREN
2491,Olmen,Oui,BALEN,ANVERS,VLAANDEREN
2500,Koningshooikt,Oui,LIER,ANVERS,VLAANDEREN
2500,Lier,Non,LIER,ANVERS,VLAANDEREN
2520,Broechem,Oui,RANST,ANVERS,VLAANDEREN
2520,Emblem,Oui,RANST,ANVERS,VLAANDEREN
2520,Oelegem,Oui,RANST,ANVERS,VLAANDEREN
2520,Ranst,Non,RANST,ANVERS,VLAANDEREN
2530,Boechout,Non,BOECHOUT,ANVERS,VLAANDEREN
2531,Vremde,Oui,BOECHOUT,ANVERS,VLAANDEREN
2540,Hove,Non,HOVE,ANVERS,VLAANDEREN
2547,Lint,Non,LINT,ANVERS,VLAANDEREN
2550,Kontich,Non,KONTICH,ANVERS,VLAANDEREN
2550,Waarloos,Oui,KONTICH,ANVERS,VLAANDEREN
2560,Bevel,Oui,NIJLEN,ANVERS,VLAANDEREN
2560,Kessel,Oui,NIJLEN,ANVERS,VLAANDEREN
2560,Nijlen,Non,NIJLEN,ANVERS,VLAANDEREN
2570,Duffel,Non,DUFFEL,ANVERS,VLAANDEREN
2580,Beerzel,Oui,PUTTE,ANVERS,VLAANDEREN
2580,Putte,Non,PUTTE,ANVERS,VLAANDEREN
2590,Berlaar,Non,BERLAAR,ANVERS,VLAANDEREN
2590,Gestel,Oui,BERLAAR,ANVERS,VLAANDEREN
2600,Berchem,Oui,ANTWERPEN,ANVERS,VLAANDEREN
2610,Wilrijk,Oui,ANTWERPEN,ANVERS,VLAANDEREN
2620,Hemiksem,Non,HEMIKSEM,ANVERS,VLAANDEREN
2627,Schelle,Non,SCHELLE,ANVERS,VLAANDEREN
2630,Aartselaar,Non,AARTSELAAR,ANVERS,VLAANDEREN
2640,Mortsel,Non,MORTSEL,ANVERS,VLAANDEREN
2650,Edegem,Non,EDEGEM,ANVERS,VLAANDEREN
2660,Hoboken,Oui,ANTWERPEN,ANVERS,VLAANDEREN
2800,Mechelen,Non,MECHELEN,ANVERS,VLAANDEREN
2800,Walem,Oui,MECHELEN,ANVERS,VLAANDEREN
2801,Heffen,Oui,MECHELEN,ANVERS,VLAANDEREN
2811,Hombeek,Oui,MECHELEN,ANVERS,VLAANDEREN
2811,Leest,Oui,MECHELEN,ANVERS,VLAANDEREN
2812,Muizen,Oui,MECHELEN,ANVERS,VLAANDEREN
2820,Bonheiden,Non,BONHEIDEN,ANVERS,VLAANDEREN
2820,Rijmenam,Oui,BONHEIDEN,ANVERS,VLAANDEREN
2830,Blaasveld,Oui,WILLEBROEK,ANVERS,VLAANDEREN
2830,Heindonk,Oui,WILLEBROEK,ANVERS,VLAANDEREN
2830,Tisselt,Oui,WILLEBROEK,ANVERS,VLAANDEREN
2830,Willebroek,Non,WILLEBROEK,ANVERS,VLAANDEREN
2840,Reet,Oui,RUMST,ANVERS,VLAANDEREN
2840,Rumst,Non,RUMST,ANVERS,VLAANDEREN
2840,Terhagen,Oui,RUMST,ANVERS,VLAANDEREN
2845,Niel,Non,NIEL,ANVERS,VLAANDEREN
2850,Boom,Non,BOOM,ANVERS,VLAANDEREN
2860,Sint-Katelijne-Waver,Non,SINT-KATELIJNE-WAVER,ANVERS,VLAANDEREN
2861,Onze-Lieve-Vrouw-Waver,Oui,SINT-KATELIJNE-WAVER,ANVERS,VLAANDEREN
2870,Breendonk,Oui,PUURS-SINT-AMANDS,ANVERS,VLAANDEREN
2870,Liezele,Oui,PUURS-SINT-AMANDS,ANVERS,VLAANDEREN
2870,Puurs,Oui,PUURS-SINT-AMANDS,ANVERS,VLAANDEREN
2870,Ruisbroek,Oui,PUURS-SINT-AMANDS,ANVERS,VLAANDEREN
2880,Bornem,Non,BORNEM,ANVERS,VLAANDEREN
2880,Hingene,Oui,BORNEM,ANVERS,VLAANDEREN
2880,Mariekerke,Oui,BORNEM,ANVERS,VLAANDEREN
2880,Weert,Oui,BORNEM,ANVERS,VLAANDEREN
2890,Lippelo,Oui,PUURS-SINT-AMANDS,ANVERS,VLAANDEREN
2890,Oppuurs,Oui,PUURS-SINT-AMANDS,ANVERS,VLAANDEREN
2890,Sint-Amands,Oui,PUURS-SINT-AMANDS,ANVERS,VLAANDEREN
2900,Schoten,Non,SCHOTEN,ANVERS,VLAANDEREN
2910,Essen,Non,ESSEN,ANVERS,VLAANDEREN
2920,Kalmthout,Non,KALMTHOUT,ANVERS,VLAANDEREN
2930,Brasschaat,Non,BRASSCHAAT,ANVERS,VLAANDEREN
2940,Hoevenen,Oui,STABROEK,ANVERS,VLAANDEREN
2940,Stabroek,Non,STABROEK,ANVERS,VLAANDEREN
2950,Kapellen,Non,KAPELLEN,ANVERS,VLAANDEREN
2960,Brecht,Non,BRECHT,ANVERS,VLAANDEREN
2960,Sint-Job-In-'T-Goor,Oui,BRECHT,ANVERS,VLAANDEREN
2960,Sint-Lenaarts,Oui,BRECHT,ANVERS,VLAANDEREN
2970,'S Gravenwezel,Oui,SCHILDE,ANVERS,VLAANDEREN
2970,Schilde,Non,SCHILDE,ANVERS,VLAANDEREN
2980,Halle,Oui,ZOERSEL,ANVERS,VLAANDEREN
2980,Zoersel,Non,ZOERSEL,ANVERS,VLAANDEREN
2990,Loenhout,Oui,WUUSTWEZEL,ANVERS,VLAANDEREN
2990,Wuustwezel,Non,WUUSTWEZEL,ANVERS,VLAANDEREN
3000,Leuven,Non,LEUVEN,BRABANT FLAMAND,VLAANDEREN
3001,Heverlee,Oui,LEUVEN,BRABANT FLAMAND,VLAANDEREN
3010,Kessel Lo,Oui,LEUVEN,BRABANT FLAMAND,VLAANDEREN
3012,Wilsele,Oui,LEUVEN,BRABANT FLAMAND,VLAANDEREN
3018,Wijgmaal,Oui,LEUVEN,BRABANT FLAMAND,VLAANDEREN
3020,Herent,Non,HERENT,BRABANT FLAMAND,VLAANDEREN
3020,Veltem-Beisem,Oui,HERENT,BRABANT FLAMAND,VLAANDEREN
3020,Winksele,Oui,HERENT,BRABANT FLAMAND,VLAANDEREN
3040,Huldenberg,Non,HULDENBERG,BRABANT FLAMAND,VLAANDEREN
3040,Loonbeek,Oui,HULDENBERG,BRABANT FLAMAND,VLAANDEREN
3040,Neerijse,Oui,HULDENBERG,BRABANT FLAMAND,VLAANDEREN
3040,Ottenburg,Oui,HULDENBERG,BRABANT FLAMAND,VLAANDEREN
3040,Sint-Agatha-Rode,Oui,HULDENBERG,BRABANT FLAMAND,VLAANDEREN
3050,Oud-Heverlee,Non,OUD-HEVERLEE,BRABANT FLAMAND,VLAANDEREN
3051,Sint-Joris-Weert,Oui,OUD-HEVERLEE,BRABANT FLAMAND,VLAANDEREN
3052,Blanden,Oui,OUD-HEVERLEE,BRABANT FLAMAND,VLAANDEREN
3053,Haasrode,Oui,OUD-HEVERLEE,BRABANT FLAMAND,VLAANDEREN
3054,Vaalbeek,Oui,OUD-HEVERLEE,BRABANT FLAMAND,VLAANDEREN
3060,Bertem,Non,BERTEM,BRABANT FLAMAND,VLAANDEREN
3060,Korbeek-Dijle,Oui,BERTEM,BRABANT FLAMAND,VLAANDEREN
3061,Leefdaal,Oui,BERTEM,BRABANT FLAMAND,VLAANDEREN
3070,Kortenberg,Non,KORTENBERG,BRABANT FLAMAND,VLAANDEREN
3071,Erps-Kwerps,Oui,KORTENBERG,BRABANT FLAMAND,VLAANDEREN
3078,Everberg,Oui,KORTENBERG,BRABANT FLAMAND,VLAANDEREN
3078,Meerbeek,Oui,KORTENBERG,BRABANT FLAMAND,VLAANDEREN
3080,Duisburg,Oui,TERVUREN,BRABANT FLAMAND,VLAANDEREN
3080,Tervuren,Non,TERVUREN,BRABANT FLAMAND,VLAANDEREN
3080,Vossem,Oui,TERVUREN,BRABANT FLAMAND,VLAANDEREN
3090,Overijse,Non,OVERIJSE,BRABANT FLAMAND,VLAANDEREN
3110,Rotselaar,Non,ROTSELAAR,BRABANT FLAMAND,VLAANDEREN
3111,Wezemaal,Oui,ROTSELAAR,BRABANT FLAMAND,VLAANDEREN
3118,Werchter,Oui,ROTSELAAR,BRABANT FLAMAND,VLAANDEREN
3120,Tremelo,Non,TREMELO,BRABANT FLAMAND,VLAANDEREN
3128,Baal,Oui,TREMELO,BRABANT FLAMAND,VLAANDEREN
3130,Begijnendijk,Non,BEGIJNENDIJK,BRABANT FLAMAND,VLAANDEREN
3130,Betekom,Oui,BEGIJNENDIJK,BRABANT FLAMAND,VLAANDEREN
3140,Keerbergen,Non,KEERBERGEN,BRABANT FLAMAND,VLAANDEREN
3150,Haacht,Non,HAACHT,BRABANT FLAMAND,VLAANDEREN
3150,Tildonk,Oui,HAACHT,BRABANT FLAMAND,VLAANDEREN
3150,Wespelaar,Oui,HAACHT,BRABANT FLAMAND,VLAANDEREN
3190,Boortmeerbeek,Non,BOORTMEERBEEK,BRABANT FLAMAND,VLAANDEREN
3191,Hever,Oui,BOORTMEERBEEK,BRABANT FLAMAND,VLAANDEREN
3200,Aarschot,Non,AARSCHOT,BRABANT FLAMAND,VLAANDEREN
3200,Gelrode,Oui,AARSCHOT,BRABANT FLAMAND,VLAANDEREN
3201,Langdorp,Oui,AARSCHOT,BRABANT FLAMAND,VLAANDEREN
3202,Rillaar,Oui,AARSCHOT,BRABANT FLAMAND,VLAANDEREN
3210,Linden,Oui,LUBBEEK,BRABANT FLAMAND,VLAANDEREN
3210,Lubbeek,Non,LUBBEEK,BRABANT FLAMAND,VLAANDEREN
3211,Binkom,Oui,LUBBEEK,BRABANT FLAMAND,VLAANDEREN
3212,Pellenberg,Oui,LUBBEEK,BRABANT FLAMAND,VLAANDEREN
3220,Holsbeek,Non,HOLSBEEK,BRABANT FLAMAND,VLAANDEREN
3220,Kortrijk-Dutsel,Oui,HOLSBEEK,BRABANT FLAMAND,VLAANDEREN
3220,Sint-Pieters-Rode,Oui,HOLSBEEK,BRABANT FLAMAND,VLAANDEREN
3221,Nieuwrode,Oui,HOLSBEEK,BRABANT FLAMAND,VLAANDEREN
3270,Scherpenheuvel,Oui,SCHERPENHEUVEL-ZICHEM,BRABANT FLAMAND,VLAANDEREN
3271,Averbode,Oui,SCHERPENHEUVEL-ZICHEM,BRABANT FLAMAND,VLAANDEREN
3271,Zichem,Oui,SCHERPENHEUVEL-ZICHEM,BRABANT FLAMAND,VLAANDEREN
3272,Messelbroek,Oui,SCHERPENHEUVEL-ZICHEM,BRABANT FLAMAND,VLAANDEREN
3272,Testelt,Oui,SCHERPENHEUVEL-ZICHEM,BRABANT FLAMAND,VLAANDEREN
3290,Deurne,Oui,DIEST,BRABANT FLAMAND,VLAANDEREN
3290,Diest,Non,DIEST,BRABANT FLAMAND,VLAANDEREN
3290,Schaffen,Oui,DIEST,BRABANT FLAMAND,VLAANDEREN
3290,Webbekom,Oui,DIEST,BRABANT FLAMAND,VLAANDEREN
3293,Kaggevinne,Oui,DIEST,BRABANT FLAMAND,VLAANDEREN
3294,Molenstede,Oui,DIEST,BRABANT FLAMAND,VLAANDEREN
3300,Bost,Oui,TIENEN,BRABANT FLAMAND,VLAANDEREN
3300,Goetsenhoven,Oui,TIENEN,BRABANT FLAMAND,VLAANDEREN
3300,Hakendover,Oui,TIENEN,BRABANT FLAMAND,VLAANDEREN
3300,Kumtich,Oui,TIENEN,BRABANT FLAMAND,VLAANDEREN
3300,Oorbeek,Oui,TIENEN,BRABANT FLAMAND,VLAANDEREN
3300,Oplinter,Oui,TIENEN,BRABANT FLAMAND,VLAANDEREN
3300,Sint-Margriete-Houtem,Oui,TIENEN,BRABANT FLAMAND,VLAANDEREN
3300,Tienen,Non,TIENEN,BRABANT FLAMAND,VLAANDEREN
3300,Vissenaken,Oui,TIENEN,BRABANT FLAMAND,VLAANDEREN
3320,Hoegaarden,Non,HOEGAARDEN,BRABANT FLAMAND,VLAANDEREN
3320,Meldert,Oui,HOEGAARDEN,BRABANT FLAMAND,VLAANDEREN
3321,Outgaarden,Oui,HOEGAARDEN,BRABANT FLAMAND,VLAANDEREN
3350,Drieslinter,Oui,LINTER,BRABANT FLAMAND,VLAANDEREN
3350,Linter,Non,LINTER,BRABANT FLAMAND,VLAANDEREN
3350,Melkwezer,Oui,LINTER,BRABANT FLAMAND,VLAANDEREN
3350,Neerhespen,Oui,LINTER,BRABANT FLAMAND,VLAANDEREN
3350,Neerlinter,Oui,LINTER,BRABANT FLAMAND,VLAANDEREN
3350,Orsmaal-Gussenhoven,Oui,LINTER,BRABANT FLAMAND,VLAANDEREN
3350,Overhespen,Oui,LINTER,BRABANT FLAMAND,VLAANDEREN
3350,Wommersom,Oui,LINTER,BRABANT FLAMAND,VLAANDEREN
3360,Bierbeek,Non,BIERBEEK,BRABANT FLAMAND,VLAANDEREN
3360,Korbeek-Lo,Oui,BIERBEEK,BRABANT FLAMAND,VLAANDEREN
3360,Lovenjoel,Oui,BIERBEEK,BRABANT FLAMAND,VLAANDEREN
3360,Opvelp,Oui,BIERBEEK,BRABANT FLAMAND,VLAANDEREN
3370,Boutersem,Non,BOUTERSEM,BRABANT FLAMAND,VLAANDEREN
3370,Kerkom,Oui,BOUTERSEM,BRABANT FLAMAND,VLAANDEREN
3370,Neervelp,Oui,BOUTERSEM,BRABANT FLAMAND,VLAANDEREN
3370,Roosbeek,Oui,BOUTERSEM,BRABANT FLAMAND,VLAANDEREN
3370,Vertrijk,Oui,BOUTERSEM,BRABANT FLAMAND,VLAANDEREN
3370,Willebringen,Oui,BOUTERSEM,BRABANT FLAMAND,VLAANDEREN
3380,Bunsbeek,Oui,GLABBEEK,BRABANT FLAMAND,VLAANDEREN
3380,Glabbeek,Non,GLABBEEK,BRABANT FLAMAND,VLAANDEREN
3381,Kapellen,Oui,GLABBEEK,BRABANT FLAMAND,VLAANDEREN
3384,Attenrode,Oui,GLABBEEK,BRABANT FLAMAND,VLAANDEREN
3390,Houwaart,Oui,TIELT-WINGE,BRABANT FLAMAND,VLAANDEREN
3390,Sint-Joris-Winge,Oui,TIELT-WINGE,BRABANT FLAMAND,VLAANDEREN
3390,Tielt,Oui,TIELT-WINGE,BRABANT FLAMAND,VLAANDEREN
3391,Meensel-Kiezegem,Oui,TIELT-WINGE,BRABANT FLAMAND,VLAANDEREN
3400,Eliksem,Oui,LANDEN,BRABANT FLAMAND,VLAANDEREN
3400,Ezemaal,Oui,LANDEN,BRABANT FLAMAND,VLAANDEREN
3400,Laar,Oui,LANDEN,BRABANT FLAMAND,VLAANDEREN
3400,Landen,Non,LANDEN,BRABANT FLAMAND,VLAANDEREN
3400,Neerwinden,Oui,LANDEN,BRABANT FLAMAND,VLAANDEREN
3400,Overwinden,Oui,LANDEN,BRABANT FLAMAND,VLAANDEREN
3400,Rumsdorp,Oui,LANDEN,BRABANT FLAMAND,VLAANDEREN
3400,Wange,Oui,LANDEN,BRABANT FLAMAND,VLAANDEREN
3401,Waasmont,Oui,LANDEN,BRABANT FLAMAND,VLAANDEREN
3401,Walsbets,Oui,LANDEN,BRABANT FLAMAND,VLAANDEREN
3401,Walshoutem,Oui,LANDEN,BRABANT FLAMAND,VLAANDEREN
3401,Wezeren,Oui,LANDEN,BRABANT FLAMAND,VLAANDEREN
3404,Attenhoven,Oui,LANDEN,BRABANT FLAMAND,VLAANDEREN
3404,Neerlanden,Oui,LANDEN,BRABANT FLAMAND,VLAANDEREN
3440,Budingen,Oui,ZOUTLEEUW,BRABANT FLAMAND,VLAANDEREN
3440,Dormaal,Oui,ZOUTLEEUW,BRABANT FLAMAND,VLAANDEREN
3440,Halle-Booienhoven,Oui,ZOUTLEEUW,BRABANT FLAMAND,VLAANDEREN
3440,Helen-Bos,Oui,ZOUTLEEUW,BRABANT FLAMAND,VLAANDEREN
3440,Zoutleeuw,Non,ZOUTLEEUW,BRABANT FLAMAND,VLAANDEREN
3450,Geetbets,Non,GEETBETS,BRABANT FLAMAND,VLAANDEREN
3450,Grazen,Oui,GEETBETS,BRABANT FLAMAND,VLAANDEREN
3454,Rummen,Oui,GEETBETS,BRABANT FLAMAND,VLAANDEREN
3460,Assent,Oui,BEKKEVOORT,BRABANT FLAMAND,VLAANDEREN
3460,Bekkevoort,Non,BEKKEVOORT,BRABANT FLAMAND,VLAANDEREN
3461,Molenbeek-Wersbeek,Oui,BEKKEVOORT,BRABANT FLAMAND,VLAANDEREN
3470,Kortenaken,Non,KORTENAKEN,BRABANT FLAMAND,VLAANDEREN
3470,Ransberg,Oui,KORTENAKEN,BRABANT FLAMAND,VLAANDEREN
3470,Sint-Margriete-Houtem,Oui,KORTENAKEN,BRABANT FLAMAND,VLAANDEREN
3471,Hoeleden,Oui,KORTENAKEN,BRABANT FLAMAND,VLAANDEREN
3472,Kersbeek-Miskom,Oui,KORTENAKEN,BRABANT FLAMAND,VLAANDEREN
3473,Waanrode,Oui,KORTENAKEN,BRABANT FLAMAND,VLAANDEREN
3500,Hasselt,Non,HASSELT,LIMBOURG,VLAANDEREN
3500,Sint-Lambrechts-Herk,Oui,HASSELT,LIMBOURG,VLAANDEREN
3501,Wimmertingen,Oui,HASSELT,LIMBOURG,VLAANDEREN
3510,Kermt,Oui,HASSELT,LIMBOURG,VLAANDEREN
3510,Spalbeek,Oui,HASSELT,LIMBOURG,VLAANDEREN
3511,Kuringen,Oui,HASSELT,LIMBOURG,VLAANDEREN
3511,Stokrooie,Oui,HASSELT,LIMBOURG,VLAANDEREN
3512,Stevoort,Oui,HASSELT,LIMBOURG,VLAANDEREN
3520,Zonhoven,Non,ZONHOVEN,LIMBOURG,VLAANDEREN
3530,Helchteren,Oui,HOUTHALEN-HELCHTEREN,LIMBOURG,VLAANDEREN
3530,Houthalen,Oui,HOUTHALEN-HELCHTEREN,LIMBOURG,VLAANDEREN
3540,Berbroek,Oui,HERK-DE-STAD,LIMBOURG,VLAANDEREN
3540,Donk,Oui,HERK-DE-STAD,LIMBOURG,VLAANDEREN
3540,Herk-De-Stad,Non,HERK-DE-STAD,LIMBOURG,VLAANDEREN
3540,Schulen,Oui,HERK-DE-STAD,LIMBOURG,VLAANDEREN
3545,Halen,Non,HALEN,LIMBOURG,VLAANDEREN
3545,Loksbergen,Oui,HALEN,LIMBOURG,VLAANDEREN
3545,Zelem,Oui,HALEN,LIMBOURG,VLAANDEREN
3550,Heusden,Oui,HEUSDEN-ZOLDER,LIMBOURG,VLAANDEREN
3550,Heusden-Zolder,Non,HEUSDEN-ZOLDER,LIMBOURG,VLAANDEREN
3550,Zolder,Oui,HEUSDEN-ZOLDER,LIMBOURG,VLAANDEREN
3560,Linkhout,Oui,LUMMEN,LIMBOURG,VLAANDEREN
3560,Lummen,Non,LUMMEN,LIMBOURG,VLAANDEREN
3560,Meldert,Oui,LUMMEN,LIMBOURG,VLAANDEREN
3570,Alken,Non,ALKEN,LIMBOURG,VLAANDEREN
3580,Beringen,Non,BERINGEN,LIMBOURG,VLAANDEREN
3581,Beverlo,Oui,BERINGEN,LIMBOURG,VLAANDEREN
3582,Koersel,Oui,BERINGEN,LIMBOURG,VLAANDEREN
3583,Paal,Oui,BERINGEN,LIMBOURG,VLAANDEREN
3590,Diepenbeek,Non,DIEPENBEEK,LIMBOURG,VLAANDEREN
3600,Genk,Non,GENK,LIMBOURG,VLAANDEREN
3620,Gellik,Oui,LANAKEN,LIMBOURG,VLAANDEREN
3620,Lanaken,Non,LANAKEN,LIMBOURG,VLAANDEREN
3620,Neerharen,Oui,LANAKEN,LIMBOURG,VLAANDEREN
3620,Veldwezelt,Oui,LANAKEN,LIMBOURG,VLAANDEREN
3621,Rekem,Oui,LANAKEN,LIMBOURG,VLAANDEREN
3630,Eisden,Oui,MAASMECHELEN,LIMBOURG,VLAANDEREN
3630,Leut,Oui,MAASMECHELEN,LIMBOURG,VLAANDEREN
3630,Maasmechelen,Non,MAASMECHELEN,LIMBOURG,VLAANDEREN
3630,Mechelen-Aan-De-Maas,Oui,MAASMECHELEN,LIMBOURG,VLAANDEREN
3630,Meeswijk,Oui,MAASMECHELEN,LIMBOURG,VLAANDEREN
3630,Opgrimbie,Oui,MAASMECHELEN,LIMBOURG,VLAANDEREN
3630,Vucht,Oui,MAASMECHELEN,LIMBOURG,VLAANDEREN
3631,Boorsem,Oui,MAASMECHELEN,LIMBOURG,VLAANDEREN
3631,Uikhoven,Oui,MAASMECHELEN,LIMBOURG,VLAANDEREN
3640,Kessenich,Oui,KINROOI,LIMBOURG,VLAANDEREN
3640,Kinrooi,Non,KINROOI,LIMBOURG,VLAANDEREN
3640,Molenbeersel,Oui,KINROOI,LIMBOURG,VLAANDEREN
3640,Ophoven,Oui,KINROOI,LIMBOURG,VLAANDEREN
3650,Dilsen,Oui,DILSEN-STOKKEM,LIMBOURG,VLAANDEREN
3650,Dilsen-Stokkem,Non,DILSEN-STOKKEM,LIMBOURG,VLAANDEREN
3650,Elen,Oui,DILSEN-STOKKEM,LIMBOURG,VLAANDEREN
3650,Lanklaar,Oui,DILSEN-STOKKEM,LIMBOURG,VLAANDEREN
3650,Rotem,Oui,DILSEN-STOKKEM,LIMBOURG,VLAANDEREN
3650,Stokkem,Oui,DILSEN-STOKKEM,LIMBOURG,VLAANDEREN
3660,Opglabbeek,Oui,OUDSBERGEN,LIMBOURG,VLAANDEREN
3665,As,Non,AS,LIMBOURG,VLAANDEREN
3668,Niel-Bij-As,Oui,AS,LIMBOURG,VLAANDEREN
3670,Ellikom,Oui,OUDSBERGEN,LIMBOURG,VLAANDEREN
3670,Gruitrode,Oui,OUDSBERGEN,LIMBOURG,VLAANDEREN
3670,Meeuwen,Oui,OUDSBERGEN,LIMBOURG,VLAANDEREN
3670,Neerglabbeek,Oui,OUDSBERGEN,LIMBOURG,VLAANDEREN
3670,Wijshagen,Oui,OUDSBERGEN,LIMBOURG,VLAANDEREN
3680,Maaseik,Non,MAASEIK,LIMBOURG,VLAANDEREN
3680,Neeroeteren,Oui,MAASEIK,LIMBOURG,VLAANDEREN
3680,Opoeteren,Oui,MAASEIK,LIMBOURG,VLAANDEREN
3690,Zutendaal,Non,ZUTENDAAL,LIMBOURG,VLAANDEREN
3700,'S Herenelderen,Oui,TONGEREN,LIMBOURG,VLAANDEREN
3700,Berg,Oui,TONGEREN,LIMBOURG,VLAANDEREN
3700,Diets-Heur,Oui,TONGEREN,LIMBOURG,VLAANDEREN
3700,Haren,Oui,TONGEREN,LIMBOURG,VLAANDEREN
3700,Henis,Oui,TONGEREN,LIMBOURG,VLAANDEREN
3700,Kolmont,Oui,TONGEREN,LIMBOURG,VLAANDEREN
3700,Koninksem,Oui,TONGEREN,LIMBOURG,VLAANDEREN
3700,Lauw,Oui,TONGEREN,LIMBOURG,VLAANDEREN
3700,Mal,Oui,TONGEREN,LIMBOURG,VLAANDEREN
3700,Neerrepen,Oui,TONGEREN,LIMBOURG,VLAANDEREN
3700,Nerem,Oui,TONGEREN,LIMBOURG,VLAANDEREN
3700,Overrepen,Oui,TONGEREN,LIMBOURG,VLAANDEREN
3700,Piringen,Oui,TONGEREN,LIMBOURG,VLAANDEREN
3700,Riksingen,Oui,TONGEREN,LIMBOURG,VLAANDEREN
3700,Rutten,Oui,TONGEREN,LIMBOURG,VLAANDEREN
3700,Sluizen,Oui,TONGEREN,LIMBOURG,VLAANDEREN
3700,Tongeren,Non,TONGEREN,LIMBOURG,VLAANDEREN
3700,Vreren,Oui,TONGEREN,LIMBOURG,VLAANDEREN
3700,Widooie,Oui,TONGEREN,LIMBOURG,VLAANDEREN
3717,Herstappe,Non,HERSTAPPE,LIMBOURG,VLAANDEREN
3720,Kortessem,Non,KORTESSEM,LIMBOURG,VLAANDEREN
3721,Vliermaalroot,Oui,KORTESSEM,LIMBOURG,VLAANDEREN
3722,Wintershoven,Oui,KORTESSEM,LIMBOURG,VLAANDEREN
3723,Guigoven,Oui,KORTESSEM,LIMBOURG,VLAANDEREN
3724,Vliermaal,Oui,KORTESSEM,LIMBOURG,VLAANDEREN
3730,Hoeselt,Non,HOESELT,LIMBOURG,VLAANDEREN
3730,Romershoven,Oui,HOESELT,LIMBOURG,VLAANDEREN
3730,Sint-Huibrechts-Hern,Oui,HOESELT,LIMBOURG,VLAANDEREN
3730,Werm,Oui,HOESELT,LIMBOURG,VLAANDEREN
3732,Schalkhoven,Oui,HOESELT,LIMBOURG,VLAANDEREN
3740,Beverst,Oui,BILZEN,LIMBOURG,VLAANDEREN
3740,Bilzen,Non,BILZEN,LIMBOURG,VLAANDEREN
3740,Eigenbilzen,Oui,BILZEN,LIMBOURG,VLAANDEREN
3740,Grote-Spouwen,Oui,BILZEN,LIMBOURG,VLAANDEREN
3740,Hees,Oui,BILZEN,LIMBOURG,VLAANDEREN
3740,Kleine-Spouwen,Oui,BILZEN,LIMBOURG,VLAANDEREN
3740,Mopertingen,Oui,BILZEN,LIMBOURG,VLAANDEREN
3740,Munsterbilzen,Oui,BILZEN,LIMBOURG,VLAANDEREN
3740,Rijkhoven,Oui,BILZEN,LIMBOURG,VLAANDEREN
3740,Rosmeer,Oui,BILZEN,LIMBOURG,VLAANDEREN
3740,Waltwilder,Oui,BILZEN,LIMBOURG,VLAANDEREN
3742,Martenslinde,Oui,BILZEN,LIMBOURG,VLAANDEREN
3746,Hoelbeek,Oui,BILZEN,LIMBOURG,VLAANDEREN
3770,Genoelselderen,Oui,RIEMST,LIMBOURG,VLAANDEREN
3770,Herderen,Oui,RIEMST,LIMBOURG,VLAANDEREN
3770,Kanne,Oui,RIEMST,LIMBOURG,VLAANDEREN
3770,Membruggen,Oui,RIEMST,LIMBOURG,VLAANDEREN
3770,Millen,Oui,RIEMST,LIMBOURG,VLAANDEREN
3770,Riemst,Non,RIEMST,LIMBOURG,VLAANDEREN
3770,Val-Meer,Oui,RIEMST,LIMBOURG,VLAANDEREN
3770,Vlijtingen,Oui,RIEMST,LIMBOURG,VLAANDEREN
3770,Vroenhoven,Oui,RIEMST,LIMBOURG,VLAANDEREN
3770,Zichen-Zussen-Bolder,Oui,RIEMST,LIMBOURG,VLAANDEREN
3790,Fouron-Saint-Martin,Oui,FOURONS,LIMBOURG,VLAANDEREN
3790,Mouland,Oui,FOURONS,LIMBOURG,VLAANDEREN
3791,Remersdaal,Oui,FOURONS,LIMBOURG,VLAANDEREN
3792,Fouron-Saint-Pierre,Oui,FOURONS,LIMBOURG,VLAANDEREN
3793,Teuven,Oui,FOURONS,LIMBOURG,VLAANDEREN
3798,Fouron-Le-Comte,Oui,FOURONS,LIMBOURG,VLAANDEREN
3800,Aalst,Oui,SINT-TRUIDEN,LIMBOURG,VLAANDEREN
3800,Brustem,Oui,SINT-TRUIDEN,LIMBOURG,VLAANDEREN
3800,Engelmanshoven,Oui,SINT-TRUIDEN,LIMBOURG,VLAANDEREN
3800,Gelinden,Oui,SINT-TRUIDEN,LIMBOURG,VLAANDEREN
3800,Groot-Gelmen,Oui,SINT-TRUIDEN,LIMBOURG,VLAANDEREN
3800,Halmaal,Oui,SINT-TRUIDEN,LIMBOURG,VLAANDEREN
3800,Kerkom-Bij-Sint-Truiden,Oui,SINT-TRUIDEN,LIMBOURG,VLAANDEREN
3800,Ordingen,Oui,SINT-TRUIDEN,LIMBOURG,VLAANDEREN
3800,Sint-Truiden,Non,SINT-TRUIDEN,LIMBOURG,VLAANDEREN
3800,Zepperen,Oui,SINT-TRUIDEN,LIMBOURG,VLAANDEREN
3803,Duras,Oui,SINT-TRUIDEN,LIMBOURG,VLAANDEREN
3803,Gorsem,Oui,SINT-TRUIDEN,LIMBOURG,VLAANDEREN
3803,Runkelen,Oui,SINT-TRUIDEN,LIMBOURG,VLAANDEREN
